buckfast 1.3.2                                                                                      ,

*HEADING,
Buckfast example - Pipeline A - Scenario 1                                                          ,

*SIMULATION,
number of simulations,              100000,

*WATER,
temperature of sea-water (°C),        4.0000000000,,
density of sea-water (kg.m-3),     1025.0000000000,,

*AXIALFRICTION,                   1,,
distribution,LOGNORMAL           ,,
mean,        0.5170000000,,
standard deviation,        0.1370000000,,

*SINGLE,                   1,,
diameter (mm),      273.1000000000,,
wall thickness (mm),       25.4000000000,,
density of steel (kg.m-3),     7850.0000000000,,
elastic modulus (N.mm-2),   207000.0000000000,,
Poisson's ratio,        0.3000000000,,
coefficient of thermal expansion (°C-1),        0.0000117000,,
thickness of coating (mm),      300.0000000000,                   1,
density of coating (kg.m-3),      990.5815642546,                   1,
density of contents during operation (kg.m-3),      799.9858676179,,
density of contents during installation (kg.m-3),        1.3136056940,,

length of pipeline (m),    20000.0000000000,,



number of simulations,              100000,
number of simulations with one or more buckles,              100000,
probability of one or more buckles,    0.1000000000E+01,
                    ,
                    ,mean,standard deviation,minimum,maximum,
number of buckles,    0.7195110000E+01,    0.1829781978E+01,                   2,                  19,

element,centroid of element,number of simulations with a buckle,probability of buckling,probability of not buckling,mean of the VAS,standard deviation of the VAS,minimum VAS,maximum VAS,
,(m),,,,(m),(m),(m),(m),
  -880000.0000000000,    0.8328995315E-02,    0.3310590529E-01,    0.3621300664E-01,    0.3645718486E-01,    0.3715040359E-01,    0.3557215153E-01,    0.3589035693E-01,    0.3543152201E-01,    0.3755280479E-01,    0.3748313504E-01,    0.3710286603E-01,    0.3667493675E-01,    0.3618251138E-01,    0.3791667693E-01,    0.3520093869E-01,    0.3815682306E-01,    0.3639578575E-01,    0.3596433906E-01,    0.3382741660E-01,    0.7991475759E-02,
  -900000.0000000000,    0.8328995315E-02,    0.3139179242E-01,    0.3567321458E-01,    0.3523214504E-01,    0.3144824862E-01,    0.3454036260E-01,    0.3379510945E-01,    0.3385788050E-01,    0.3546517340E-01,    0.3515270453E-01,    0.3379495914E-01,    0.3493085067E-01,    0.3443610872E-01,    0.3471383872E-01,    0.3493204263E-01,    0.3336870943E-01,    0.3492227216E-01,    0.3521751307E-01,    0.3071569579E-01,    0.1172083111E-01,
  -920000.0000000000,    0.6246746486E-02,    0.2742580580E-01,    0.3135487808E-01,    0.3280656621E-01,    0.3068302436E-01,    0.3336117526E-01,    0.3157661211E-01,    0.3058765675E-01,    0.3234600648E-01,    0.3127683061E-01,    0.3322718408E-01,    0.3257264978E-01,    0.3062353954E-01,    0.3180664712E-01,    0.3263420358E-01,    0.3067848064E-01,    0.3254009185E-01,    0.3202016430E-01,    0.2867467461E-01,    0.5327650506E-02,
  -940000.0000000000,    0.3643935450E-02,    0.2537559238E-01,    0.2938346359E-01,    0.2881293642E-01,    0.2863419812E-01,    0.2864442588E-01,    0.2861861566E-01,    0.3056306860E-01,    0.2922683957E-01,    0.2860296823E-01,    0.2996864894E-01,    0.2923186519E-01,    0.2872955356E-01,    0.2830816231E-01,    0.2979857241E-01,    0.2823506183E-01,    0.2920012770E-01,    0.3031646751E-01,    0.2542911634E-01,    0.3196590304E-02,
  -960000.0000000000,    0.5726184279E-02,    0.2130877559E-01,    0.2710694924E-01,    0.2555433052E-01,    0.2680753376E-01,    0.2677737926E-01,    0.2635081838E-01,    0.2685025818E-01,    0.2605855192E-01,    0.2666503128E-01,    0.2572267891E-01,    0.2652976000E-01,    0.2639281761E-01,    0.2663283156E-01,    0.2710961181E-01,    0.2677888294E-01,    0.2620398340E-01,    0.2786594473E-01,    0.2107939907E-01,    0.3729355354E-02,
  -980000.0000000000,    0.2602811036E-02,    0.1845192081E-01,    0.2447839658E-01,    0.2450079628E-01,    0.2446249167E-01,    0.2351004766E-01,    0.2312167225E-01,    0.2451438407E-01,    0.2372531683E-01,    0.2288728076E-01,    0.2446369942E-01,    0.2417155911E-01,    0.2548272045E-01,    0.2409519821E-01,    0.2344284736E-01,    0.2596441000E-01,    0.2382180309E-01,    0.2620892457E-01,    0.2084518352E-01,    0.2663825253E-02,
 -1000000.0000000000,    0.2082248829E-02,    0.1690585823E-01,    0.2483043488E-01,    0.2249173098E-01,    0.2177186443E-01,    0.2110254017E-01,    0.2134687438E-01,    0.2134251291E-01,    0.2185872876E-01,    0.2178339262E-01,    0.2258757313E-01,    0.2173966445E-01,    0.2029270692E-01,    0.2145901599E-01,    0.2278282976E-01,    0.2278056125E-01,    0.2094845158E-01,    0.2324495892E-01,    0.1749924716E-01,    0.1598295152E-02,
 -1020000.0000000000,    0.1041124414E-02,    0.1525896548E-01,    0.2013659086E-01,    0.1808158765E-01,    0.1925402977E-01,    0.1957942318E-01,    0.1920232696E-01,    0.1974428326E-01,    0.1869044110E-01,    0.1901140684E-01,    0.2016835765E-01,    0.2041317645E-01,    0.1857090149E-01,    0.1921702924E-01,    0.1879827907E-01,    0.1957203149E-01,    0.1913111815E-01,    0.2126120239E-01,    0.1442098571E-01,    0.2663825253E-02,
 -1040000.0000000000,    0.3643935450E-02,    0.1297348167E-01,    0.1783660729E-01,    0.1798358447E-01,    0.1787168917E-01,    0.1695081806E-01,    0.1767402879E-01,    0.1748217359E-01,    0.1807643187E-01,    0.1631301361E-01,    0.1688513664E-01,    0.1744086074E-01,    0.1692288771E-01,    0.1670403311E-01,    0.1750268896E-01,    0.1628945875E-01,    0.1716643336E-01,    0.1965085885E-01,    0.1311607053E-01,    0.2663825253E-02,
 -1060000.0000000000,    0.5205622072E-03,    0.1189795987E-01,    0.1696824615E-01,    0.1602352076E-01,    0.1606970946E-01,    0.1449417776E-01,    0.1550483139E-01,    0.1671994099E-01,    0.1576775715E-01,    0.1481663191E-01,    0.1486089511E-01,    0.1498440148E-01,    0.1438937400E-01,    0.1589100495E-01,    0.1459372250E-01,    0.1520349483E-01,    0.1385102778E-01,    0.1664021658E-01,    0.1107504935E-01,    0.5327650506E-03,
 -1080000.0000000000,    0.2602811036E-02,    0.9847746446E-02,    0.1490295477E-01,    0.1421046184E-01,    0.1315692034E-01,    0.1329042402E-01,    0.1350818379E-01,    0.1362183428E-01,    0.1387660870E-01,    0.1462038513E-01,    0.1439186354E-01,    0.1378073645E-01,    0.1215102693E-01,    0.1293453891E-01,    0.1285812066E-01,    0.1357454895E-01,    0.1436675753E-01,    0.1381628081E-01,    0.9837052899E-02,    0.3196590304E-02,
 -1100000.0000000000,    0.5205622072E-03,    0.9444425772E-02,    0.1382337065E-01,    0.1161337743E-01,    0.1197205697E-01,    0.1218493588E-01,    0.1232498521E-01,    0.1165478239E-01,    0.1213282248E-01,    0.1197105360E-01,    0.1175047520E-01,    0.1196295659E-01,    0.1330709630E-01,    0.1197368745E-01,    0.1197809719E-01,    0.1187156009E-01,    0.1242663130E-01,    0.1276605676E-01,    0.7595275538E-02,    0.5327650506E-03,
 -1120000.0000000000,    0.0000000000E+00,    0.6553960945E-02,    0.1161726396E-01,    0.1114786231E-01,    0.1024413122E-01,    0.1044072127E-01,    0.9859988168E-02,    0.1022866978E-01,    0.9382061106E-02,    0.1057279529E-01,    0.9479374954E-02,    0.9703014076E-02,    0.9150166031E-02,    0.1037226835E-01,    0.1058472670E-01,    0.9921761236E-02,    0.1051106363E-01,    0.1162247946E-01,    0.8063706628E-02,    0.0000000000E+00,
 -1140000.0000000000,    0.5205622072E-03,    0.6117030215E-02,    0.9317280387E-02,    0.8893789048E-02,    0.9182691121E-02,    0.8942170687E-02,    0.8972589233E-02,    0.9146791247E-02,    0.8669810394E-02,    0.8782043420E-02,    0.9183144486E-02,    0.8474784446E-02,    0.8682818841E-02,    0.8475202641E-02,    0.9069130732E-02,    0.8613668337E-02,    0.9184901397E-02,    0.9965459298E-02,    0.7662194265E-02,    0.0000000000E+00,
 -1160000.0000000000,    0.0000000000E+00,    0.4974288307E-02,    0.8425450022E-02,    0.6909224550E-02,    0.7750981215E-02,    0.7296221687E-02,    0.7123841451E-02,    0.8163265306E-02,    0.7343550447E-02,    0.7849871213E-02,    0.7751363894E-02,    0.8130880149E-02,    0.7329971713E-02,    0.7292616226E-02,    0.7529089665E-02,    0.7799195399E-02,    0.8104324762E-02,    0.8565160568E-02,    0.5453876267E-02,    0.0000000000E+00,
 -1180000.0000000000,    0.0000000000E+00,    0.4604577690E-02,    0.7604027318E-02,    0.6737718976E-02,    0.6245217348E-02,    0.6780327224E-02,    0.7049891540E-02,    0.7032210475E-02,    0.5992730131E-02,    0.6623328836E-02,    0.6566442025E-02,    0.6976344297E-02,    0.6223096790E-02,    0.6405676415E-02,    0.6575730908E-02,    0.6441740504E-02,    0.6704486849E-02,    0.7234876774E-02,    0.4215879814E-02,    0.0000000000E+00,
 -1200000.0000000000,    0.5205622072E-03,    0.3327395557E-02,    0.6289750992E-02,    0.5561680755E-02,    0.5405939128E-02,    0.5945069523E-02,    0.5225793729E-02,    0.5581509712E-02,    0.5747126437E-02,    0.5617564087E-02,    0.5603693006E-02,    0.5502468742E-02,    0.5091624646E-02,    0.5050629481E-02,    0.5280140804E-02,    0.5010242614E-02,    0.5402883175E-02,    0.6161314414E-02,    0.3713989360E-02,    0.0000000000E+00,
 -1220000.0000000000,    0.0000000000E+00,    0.3361005613E-02,    0.5139759206E-02,    0.5316672792E-02,    0.5159092592E-02,    0.4741315777E-02,    0.4412344705E-02,    0.4548807475E-02,    0.4248943904E-02,    0.4881638661E-02,    0.5332148411E-02,    0.4790095556E-02,    0.5509777395E-02,    0.4927443396E-02,    0.4669013396E-02,    0.4862156626E-02,    0.4617009259E-02,    0.5857916355E-02,    0.2576370997E-02,    0.0000000000E+00,
 -1240000.0000000000,    0.0000000000E+00,    0.2251873761E-02,    0.4834659344E-02,    0.4091632978E-02,    0.3653328726E-02,    0.4643050165E-02,    0.3771445474E-02,    0.3712810425E-02,    0.3782296886E-02,    0.3802281369E-02,    0.3678194969E-02,    0.4519885038E-02,    0.4476694134E-02,    0.4040503585E-02,    0.3935660507E-02,    0.4047683688E-02,    0.3683783983E-02,    0.4597647498E-02,    0.2275236725E-02,    0.0000000000E+00,
 -1260000.0000000000,    0.0000000000E+00,    0.1949383255E-02,    0.4646905583E-02,    0.3675119441E-02,    0.3579274765E-02,    0.3709526851E-02,    0.3672845593E-02,    0.3835751168E-02,    0.3266529129E-02,    0.3556972893E-02,    0.3159791651E-02,    0.3635559704E-02,    0.3689583077E-02,    0.3498484811E-02,    0.3617874254E-02,    0.2937038774E-02,    0.3389081264E-02,    0.4597647498E-02,    0.2074480543E-02,    0.0000000000E+00,
 -1280000.0000000000,    0.0000000000E+00,    0.1613282694E-02,    0.3403036917E-02,    0.3209604312E-02,    0.2739996544E-02,    0.2456640299E-02,    0.3524945770E-02,    0.2385050406E-02,    0.3020925435E-02,    0.2771985772E-02,    0.2666074206E-02,    0.2898621926E-02,    0.2681097036E-02,    0.2833279953E-02,    0.2737850787E-02,    0.2295332823E-02,    0.3192612785E-02,    0.3944174757E-02,    0.1572590089E-02,    0.0000000000E+00,
 -1300000.0000000000,    0.0000000000E+00,    0.1512452526E-02,    0.2910183295E-02,    0.2278574054E-02,    0.2394411394E-02,    0.2628605120E-02,    0.2489647012E-02,    0.2606343742E-02,    0.2505157678E-02,    0.2256837974E-02,    0.2246414377E-02,    0.2652976000E-02,    0.2730291477E-02,    0.2094163443E-02,    0.2713405691E-02,    0.2048522842E-02,    0.2529531668E-02,    0.2730582524E-02,    0.1739886907E-02,    0.0000000000E+00,
 -1320000.0000000000,    0.0000000000E+00,    0.1243572077E-02,    0.3027529395E-02,    0.1568050962E-02,    0.2147564859E-02,    0.1965312239E-02,    0.1848747782E-02,    0.1942463732E-02,    0.2333235092E-02,    0.2036060346E-02,    0.1728011059E-02,    0.2137119556E-02,    0.1770999877E-02,    0.2069526226E-02,    0.1808937127E-02,    0.1678307871E-02,    0.1940126231E-02,    0.2193801344E-02,    0.1037240272E-02,    0.0000000000E+00,
 -1340000.0000000000,    0.0000000000E+00,    0.9410815716E-03,    0.2346922012E-02,    0.2033566091E-02,    0.1900718323E-02,    0.1498550582E-02,    0.1577598107E-02,    0.1745758544E-02,    0.1694665488E-02,    0.1790751870E-02,    0.1678639315E-02,    0.1596698519E-02,    0.2115360964E-02,    0.2044889009E-02,    0.1564486164E-02,    0.1752350865E-02,    0.1792774872E-02,    0.1797050037E-02,    0.9368621809E-03,    0.0000000000E+00,
 -1360000.0000000000,    0.0000000000E+00,    0.5041508419E-03,    0.1689783848E-02,    0.1494548573E-02,    0.1653871788E-02,    0.1842480224E-02,    0.1232498521E-02,    0.1180231129E-02,    0.1375380686E-02,    0.1790751870E-02,    0.1752696932E-02,    0.1301923408E-02,    0.1525027672E-02,    0.1305772500E-02,    0.1466705779E-02,    0.1530221882E-02,    0.1277045114E-02,    0.1657020164E-02,    0.7695653629E-03,    0.0000000000E+00,
 -1380000.0000000000,    0.0000000000E+00,    0.5377608981E-03,    0.1619376188E-02,    0.1445546980E-02,    0.1234232678E-02,    0.9826561195E-03,    0.9120489055E-03,    0.1204819277E-02,    0.1326259947E-02,    0.1054826444E-02,    0.1431780592E-02,    0.1228229630E-02,    0.1254458246E-02,    0.1305772500E-02,    0.1295590105E-02,    0.1209368907E-02,    0.1301603674E-02,    0.1470313667E-02,    0.9703215445E-03,    0.0000000000E+00,
